date,BTC-USD,fng_value,confidence
2022-02-11,42407.9375,50,0.5413
2022-02-12,42244.46875,44,0.5536
2022-02-13,42197.515625,44,0.543
2022-02-14,42586.91796875,46,0.5418
2022-02-15,44575.203125,46,0.5518
2022-02-16,43961.859375,51,0.5532
2022-02-17,40538.01171875,52,0.5459
2022-02-18,40030.9765625,30,0.5104
2022-02-19,40122.15625,25,0.5055
2022-02-20,38431.37890625,27,0.4993
2022-02-21,37075.28125,25,0.4773
2022-02-22,38286.02734375,20,0.482
2022-02-23,37296.5703125,25,0.4832
2022-02-24,38332.609375,23,0.4668
2022-02-25,39214.21875,27,0.4702
2022-02-26,39105.1484375,26,0.4754
2022-02-27,37709.78515625,26,0.4764
2022-02-28,43193.234375,20,0.4792
2022-03-01,44354.63671875,51,0.529
2022-03-02,43924.1171875,52,0.532
2022-03-03,42451.7890625,39,0.5362
2022-03-04,39137.60546875,33,0.5207
2022-03-05,39400.5859375,22,0.4918
2022-03-06,38419.984375,22,0.4875
2022-03-07,38062.0390625,23,0.4968
2022-03-08,38737.26953125,21,0.4838
2022-03-09,41982.92578125,22,0.4848
2022-03-10,39437.4609375,28,0.5015
2022-03-11,38794.97265625,22,0.4798
2022-03-12,38904.01171875,22,0.4791
2022-03-13,37849.6640625,21,0.4728
2022-03-14,39666.75390625,23,0.4689
2022-03-15,39338.78515625,21,0.4725
2022-03-16,41143.9296875,24,0.4882
2022-03-17,40951.37890625,27,0.493
2022-03-18,41801.15625,25,0.4918
2022-03-19,42190.65234375,28,0.4968
2022-03-20,41247.82421875,31,0.4963
2022-03-21,41077.99609375,30,0.4941
2022-03-22,42358.80859375,26,0.4915
2022-03-23,42892.95703125,31,0.5001
2022-03-24,43960.93359375,40,0.5042
2022-03-25,44348.73046875,47,0.5159
2022-03-26,44500.828125,51,0.5238
2022-03-27,46820.4921875,49,0.5133
2022-03-28,47128.00390625,60,0.536
2022-03-29,47465.73046875,56,0.5433
2022-03-30,47062.6640625,55,0.54
2022-03-31,45538.67578125,52,0.5405
2022-04-01,46281.64453125,50,0.5352
2022-04-02,45868.94921875,52,0.5314
2022-04-03,46453.56640625,48,0.5362
2022-04-04,46622.67578125,52,0.5463
2022-04-05,45555.9921875,53,0.5407
2022-04-06,43206.73828125,48,0.5329
2022-04-07,43503.84765625,34,0.5124
2022-04-08,42287.6640625,37,0.5052
2022-04-09,42782.13671875,30,0.5043
2022-04-10,42207.671875,34,0.4986
2022-04-11,39521.90234375,32,0.4902
2022-04-12,40127.18359375,20,0.4773
2022-04-13,41166.73046875,25,0.4699
2022-04-14,39935.515625,28,0.4734
2022-04-15,40553.46484375,22,0.4751
2022-04-16,40424.484375,28,0.4666
2022-04-17,39716.953125,28,0.4773
2022-04-18,40826.21484375,24,0.4562
2022-04-19,41502.75,27,0.458
2022-04-20,41374.37890625,27,0.48
2022-04-21,40527.36328125,27,0.4793
2022-04-22,39740.3203125,26,0.4592
2022-04-23,39486.73046875,24,0.4651
2022-04-24,39469.29296875,24,0.4642
2022-04-25,40458.30859375,23,0.4631
2022-04-26,38117.4609375,27,0.4593
2022-04-27,39241.12109375,21,0.459
2022-04-28,39773.828125,24,0.4443
2022-04-29,38609.82421875,23,0.4494
2022-04-30,37714.875,20,0.4411
2022-05-01,38469.09375,22,0.4389
2022-05-02,38529.328125,28,0.4448
2022-05-03,37750.453125,27,0.4382
2022-05-04,39698.37109375,21,0.4381
2022-05-05,36575.140625,27,0.4492
2022-05-06,36040.921875,22,0.423
2022-05-07,35501.953125,23,0.413
2022-05-08,34059.265625,18,0.411
2022-05-09,30296.953125,11,0.3912
2022-05-10,31022.90625,10,0.361
2022-05-11,28936.35546875,12,0.3572
2022-05-12,29047.751953125,12,0.3337
2022-05-13,29283.103515625,10,0.3386
2022-05-14,30101.265625,9,0.3391
2022-05-15,31305.11328125,10,0.3382
2022-05-16,29862.91796875,14,0.3543
2022-05-17,30425.857421875,8,0.3405
2022-05-18,28720.271484375,12,0.3253
2022-05-19,30314.333984375,13,0.3048
2022-05-20,29200.740234375,13,0.3096
2022-05-21,29432.2265625,13,0.3069
2022-05-22,30323.72265625,14,0.3019
2022-05-23,29098.91015625,10,0.3192
2022-05-24,29655.5859375,12,0.2979
2022-05-25,29562.361328125,11,0.3053
2022-05-26,29267.224609375,12,0.3092
2022-05-27,28627.57421875,12,0.3009
2022-05-28,28814.900390625,13,0.2992
2022-05-29,29445.95703125,14,0.3048
2022-05-30,31726.390625,10,0.312
2022-05-31,31792.310546875,16,0.3293
2022-06-01,29799.080078125,17,0.3313
2022-06-02,30467.48828125,13,0.3107
2022-06-03,29704.390625,10,0.3198
2022-06-04,29832.9140625,14,0.3133
2022-06-05,29906.662109375,10,0.3175
2022-06-06,31370.671875,13,0.3289
2022-06-07,31155.478515625,15,0.3444
2022-06-08,30214.35546875,17,0.341
2022-06-09,30111.998046875,11,0.3206
2022-06-10,29083.8046875,13,0.3133
2022-06-11,28360.810546875,12,0.3042
2022-06-12,26762.6484375,14,0.2801
2022-06-13,22487.388671875,11,0.2577
2022-06-14,22206.79296875,8,0.2179
2022-06-15,22572.83984375,7,0.2133
2022-06-16,20381.650390625,7,0.1948
2022-06-17,20471.482421875,9,0.1623
2022-06-18,19017.642578125,6,0.1719
2022-06-19,20553.271484375,6,0.1409
2022-06-20,20599.537109375,9,0.1437
2022-06-21,20710.59765625,9,0.1529
2022-06-22,19987.029296875,11,0.1437
2022-06-23,21085.876953125,11,0.1335
2022-06-24,21231.65625,11,0.137
2022-06-25,21502.337890625,14,0.1474
2022-06-26,21027.294921875,14,0.1365
2022-06-27,20735.478515625,12,0.127
2022-06-28,20280.634765625,10,0.1257
2022-06-29,20104.0234375,13,0.1153
2022-06-30,19784.7265625,11,0.1213
2022-07-01,19269.3671875,11,0.1027
2022-07-02,19242.255859375,14,0.0972
2022-07-03,19297.076171875,11,0.1006
2022-07-04,20231.26171875,14,0.0982
2022-07-05,20190.115234375,19,0.0957
2022-07-06,20548.24609375,18,0.102
2022-07-07,21637.587890625,18,0.1235
2022-07-08,21731.1171875,20,0.134
2022-07-09,21592.20703125,24,0.1316
2022-07-10,20860.44921875,24,0.1355
2022-07-11,19970.556640625,22,0.1103
2022-07-12,19323.9140625,16,0.1062
2022-07-13,20212.07421875,15,0.0825
2022-07-14,20569.919921875,18,0.104
2022-07-15,20836.328125,15,0.1189
2022-07-16,21190.31640625,21,0.1269
2022-07-17,20779.34375,24,0.1169
2022-07-18,22485.689453125,20,0.1161
2022-07-19,23389.43359375,30,0.1391
2022-07-20,23231.732421875,31,0.1545
2022-07-21,23164.62890625,34,0.1656
2022-07-22,22714.978515625,33,0.1642
2022-07-23,22465.478515625,31,0.1694
2022-07-24,22609.1640625,30,0.1646
2022-07-25,21361.701171875,30,0.1616
2022-07-26,21239.75390625,26,0.1557
2022-07-27,22930.548828125,28,0.1514
2022-07-28,23843.88671875,32,0.1635
2022-07-29,23804.6328125,39,0.1757
2022-07-30,23656.20703125,42,0.1688
2022-07-31,23336.896484375,39,0.1756
2022-08-01,23314.19921875,33,0.1598
2022-08-02,22978.1171875,31,0.1645
2022-08-03,22846.5078125,34,0.1625
2022-08-04,22630.95703125,30,0.1563
2022-08-05,23289.314453125,31,0.1629
2022-08-06,22961.279296875,31,0.1717
2022-08-07,23175.890625,30,0.1685
2022-08-08,23809.486328125,30,0.1653
2022-08-09,23164.318359375,42,0.1696
2022-08-10,23947.642578125,31,0.1661
2022-08-11,23957.529296875,41,0.1701
2022-08-12,24402.818359375,42,0.18
2022-08-13,24424.068359375,46,0.178
2022-08-14,24319.333984375,47,0.1766
2022-08-15,24136.97265625,45,0.1822
2022-08-16,23883.291015625,44,0.1778
2022-08-17,23335.998046875,41,0.1672
2022-08-18,23212.73828125,30,0.167
2022-08-19,20877.552734375,33,0.1718
2022-08-20,21166.060546875,29,0.1317
2022-08-21,21534.12109375,27,0.1285
2022-08-22,21398.908203125,29,0.1319
2022-08-23,21528.087890625,28,0.1408
2022-08-24,21395.01953125,25,0.1304
2022-08-25,21600.904296875,25,0.1344
2022-08-26,20260.01953125,27,0.1302
2022-08-27,20041.73828125,28,0.1008
2022-08-28,19616.814453125,28,0.1014
2022-08-29,20297.994140625,24,0.0944
2022-08-30,19796.80859375,27,0.1038
2022-08-31,20049.763671875,23,0.0927
2022-09-01,20127.140625,20,0.0922
2022-09-02,19969.771484375,25,0.0841
2022-09-03,19832.087890625,21,0.0887
2022-09-04,19986.712890625,20,0.0932
2022-09-05,19812.37109375,23,0.0914
2022-09-06,18837.66796875,22,0.0799
2022-09-07,19290.32421875,24,0.0694
2022-09-08,19329.833984375,20,0.0655
2022-09-09,21381.15234375,22,0.0823
2022-09-10,21680.5390625,28,0.1156
2022-09-11,21769.255859375,26,0.1358
2022-09-12,22370.44921875,25,0.1273
2022-09-13,20296.70703125,34,0.1187
